domain,text,action
侦探,侦探轻轻翻开桌上的笔记本，眉头紧锁地审视着每一页的内容。,（翻阅笔记本并思考）
玄幻,她轻挥玉手，空气中凝聚出点点星光。,（施展法术）
生活,她轻抚着花朵，嘴角微微上扬。,（温柔地触摸花朵）
言情,她轻轻低下头，长发如瀑布般垂落，遮住了她微红的脸颊。,（低头掩饰害羞）
日常,她轻轻地把书合上，叹了口气。,（合上书并叹气）
言情,她轻轻靠在他的肩膀上，眼中含泪。,（依偎并流泪）
历史,他缓缓展开古旧的羊皮地图，手指轻轻滑过那些褪色的路线。,（展开地图并指认路线）
生活,她深吸一口气，闭上了眼睛。,（深呼吸放松）
武打,她轻盈地跃起，脚尖点地，旋转一周后猛然出掌。,（跳跃旋转后出掌攻击）
侦探,侦探仔细检查着桌上的指纹，突然他停下了手，目光如炬地望向窗外。,（停下检查动作，凝视窗外）
言情,她轻轻转身，泪光闪烁。,（转身并擦拭眼泪）
历史,项羽挥手拔出宝剑，目光如炬地指向远方。,（拔剑指向前方）
玄幻,她双手快速结印，口中念念有词。,（释放法术）
日常,她轻轻放下手中的书，抬头望向窗外。,（放下书本并远望）
玄幻,她轻挥法杖，口中念念有词。,（施展法术）
玄幻,紫电在他掌心凝聚，化作一道闪耀的长剑。,（凝聚雷电成剑）
言情,她轻轻靠近，心跳加速。,（踮脚靠近）
都市,她迅速转身，消失在人群中。,（快速转身离开）
武打,他快速转身，双腿如鞭扫过地面。,（旋风腿攻击）
日常,孩子们高兴地跳起来，欢呼着冲向公园的滑梯。,（跳跃并奔跑）
言情,她轻轻抓住他的衣角，眼中闪烁着泪光。,（紧握衣角并含泪凝视）
玄幻,天地骤变，一道闪电劈下，他的身影忽然消失在原地。,（瞬移到十米外）
玄幻,她指尖轻弹，紫光闪烁。,（施展法术）
轻小说,她轻巧地跃上屋顶，月光下影子拉长。,（轻盈跳跃）
轻小说,她轻抚着古书，眼中闪烁着好奇。,（抚摸书籍并凝视）
日常,他低头玩手机，突然笑了起来。,（滑动屏幕并微笑）
武打,他迅速转身，刀光闪烁间直取敌人咽喉。,（快速转身并挥刀）
仙侠,她轻挥长袖，一阵清风拂过山岗。,（施展轻功飞跃）
仙侠,她轻挥手中长剑，寒光四射。,（挥剑斩出剑气）
轻小说,月光下，她轻轻合上手中的魔法书，嘴角浮现出一抹神秘的微笑。,（合上书并微笑）
日常,她轻轻地关上门，叹了口气。,（关门并叹气）
生活,她轻轻地抚摸着花瓣，眼中满是温柔。,（轻抚花朵）
历史,拿破仑站在悬崖边，凝视着远方即将破晓的天空，沉重地叹了口气。,（凝视远方，叹息）
日常,她快速地翻阅着手中的杂志，不时抬头瞥一眼墙上的时钟。,（翻阅杂志并看时钟）
言情,她轻轻低头，眼角含泪。,（低头抹泪）
武打,她迅速俯身躲避，动作轻盈。,（闪避攻击）
武打,她迅速转身，一腿横扫而出，带起一阵风声。,（快速转身并横扫腿部）
言情,她轻轻咬着下唇，眼中闪烁着泪光，手指紧紧攥着衣角。,（低头忍住泪水）
侦探,侦探快速翻动着桌上的文件，眉头紧锁。,（翻阅文件并皱眉）
生活,她微笑着接过礼物，眼角闪烁着泪光。,（开心地拆开包装）
仙侠,她轻挥长剑，剑气如虹。,（挥剑释放剑气）
玄幻,她指尖凝聚出一道耀眼的蓝光，周围的空气仿佛都凝固了。,（释放法术能量）
玄幻,他双手合十，周身环绕着淡淡金光。,（施展护体神功）
日常,她轻轻放下杯子，微微一笑。,（放下杯子并微笑）
玄幻,天空突然裂开一道缝隙，她双手合十，口中念念有词。,（召唤雷电之力）
轻小说,月光下，她轻抚着古老的剑身，眼中闪过一抹决绝。,（抚摸剑身并凝视远方）
言情,她轻轻转身，泪光在月光下闪烁。,（转身并抹泪）
武打,她轻巧一跃，避开了迎面而来的刀光。,（跳跃闪避攻击）
历史,他缓缓展开古老的羊皮卷轴，眼神中闪烁着探索的光芒。,（展开卷轴并凝视）
玄幻,她轻挥玉手，空中凝结出冰晶。,（施展冰系法术）
历史,他缓缓展开古卷，目光专注。,（展开并阅读古卷）
都市,她突然停下脚步，嘴角带着神秘的微笑。,（停下并微笑）
生活,她轻轻合上书本，叹了口气。,（合书并叹气）
科幻,她迅速按下控制台上的红色按钮，屏幕随即闪烁出刺眼的蓝光。,（按下按钮激活系统）
侦探,侦探锐利的目光扫过房间，手指轻敲着下巴。,（审视并思考）
都市,她快速穿过拥挤的街道，不时回头张望。,（匆忙行走并回头查看）
生活,她轻轻放下茶杯，眼神温柔地望向远方。,（放下茶杯并远眺）
轻小说,她轻轻合上手中的魔法书，嘴角露出一丝神秘的微笑。,（合书并微笑）
科幻,她快速点击悬浮屏幕，数据流动。,（操作高科技界面）
武打,他迅速转身，双脚在地面上划出一道尘土飞扬的弧线。,（快速转身踢腿）
轻小说,她轻抚长剑，眼中闪过一丝决意。,（握紧剑柄）
历史,他缓缓展开古老的羊皮卷轴，眼中闪烁着探索的光芒。,（展开卷轴并凝视）
武打,他迅速转身，双脚轻轻一跃，避开了对方的攻击。,（转身跳跃躲避）
日常,她轻快地跑向公交站，书包随之摇摆。,（跑步并摇摆书包）
日常,她轻快地穿过繁忙的街道，不时低头查看手表。,（快步行走并看表）
日常,她轻轻地叹了口气，转头望向窗外。,（叹气并看向窗外）
武打,他迅速蹲下，随即一跃而起。,（空中旋转踢腿）
生活,她轻轻放下茶杯，微微一笑。,（优雅地放下杯子）
生活,她轻抚着花朵，嘴角微微上扬，眼中闪烁着温柔的光芒。,（轻轻触摸花瓣）
日常,她轻轻地放下手中的咖啡杯，嘴角微微上扬。,（微笑并放下杯子）
历史,秦始皇站在长城上，凝视远方。,（远眺并思考统一大业）
日常,她轻轻地把咖啡杯放在桌上，眼神里满是思索。,（放杯并沉思）
武打,她轻盈地跃起，双腿在空中划出一道优美的弧线。,（空中旋转踢腿）
