text,emotion
你要不要去吃午餐？,平淡语气
诶诶诶！我甄选上了！,开心语调
我几天身体好像有点不太舒服，肚子好痛,悲伤语调
我的小专题组员都不做事，干!超后悔跟他一组,愤怒语调
他们是不是吵架了？不会打起来吧？,平淡语气
你知道吗?我们班有人交女朋友诶!,惊奇语调
干！他真的有够恶心，卫生习惯有够差。,厌恶语调
啊今天骑脚踏车你去不去？,平淡语气
我们今天班际篮球赛赢了！！！,开心语调
今天我跟我朋友吵架了,悲伤语调
有人在背后说我胖！干!,愤怒语调
我好像被我喜欢的人讨厌了。,平淡语气
我刚刚看到有人的眉毛像是蜡笔小新！,惊奇语调
为什么我的便当里面都是青椒啦！真的吵讨厌吃青椒的！,厌恶语调
这礼拜要去图书馆吗？,平淡语气
我这礼拜就要出国玩了!,开心语调
我觉得我好像要被当了...,悲伤语调
你知道吗?他们竟然分手了!,惊奇语调
我昨天梦到有一只超大蜘蛛在追著我跑！,平淡语气
今天去吃的那家餐厅真的蛮脏的。,厌恶语调
我这次终于把程式写出来了！,开心语调
我今天被老师骂了..,悲伤语调
今年的夏天好像比较晚来,平淡语气
为什么他们可以在背后这样批评人超没礼貌的。,愤怒语调
他们两个竟然牵手了!,惊奇语调
你觉得我今天哪里不一样？,平淡语气
今年的圣诞节又要到了！,开心语调
竟然有人会在交换礼物送小番茄？,惊奇语调
明天就要比赛了，真的好紧张。,平淡语气
这次圣诞节礼物抽到了盗版的东西，烦死了。,厌恶语调
我刚刚座位抽到我好朋友的旁边！,开心语调
黑豹的演员过世了...,悲伤语调
有人在背后说我的坏话！,愤怒语调
你觉得今年我有可能中乐透吗？,平淡语气
听说我们科里有老师要退休了。,惊奇语调
啊我不小心吃到肉了！,平淡语气
我妈终于要让我养狗了！,开心语调
今天的天气真的超闷。,厌恶语调
这次的表演我犯了一个超大的错误，我搞砸了。,悲伤语调
我的同学一直呛我的饮食习惯。,愤怒语调
你知道吗?国防老师今年已经四十几岁!,惊奇语调
最近好像有台风要来诶！,惊奇语调
我终于弄懂了基本电学！,开心语调
这个老师的规定也太奇怪了吧。,厌恶语调
昨天骑脚踏车的时候，我差一点就被车撞了。,平淡语气
我养了三年的鱼今天死了...,悲伤语调
你觉得今年的流行趋势会是什么?,平淡语气
有人在公车上对老人家没礼貌!,愤怒语调
我刚刚在路上看到一个超级像明星的人!,惊奇语调
我刚刚收到了大学录取通知书!,开心语调
这部电影的特效真的很烂。,厌恶语调
我觉得我快挂了...,平淡语气
我最喜欢的咖啡厅要关了。,悲伤语调
你觉得人工智能会影响我们的工作吗?,平淡语气
有人在网上盗用我的照片!,愤怒语调
我刚发现我家后院有一棵会结果的苹果树噎!,惊奇语调
我刚刚在公园看到一只会说话的鹦鹉!,惊奇语调
我终于存到钱买了一台新相机!,开心语调
"这家店的衣服品质真的很差,穿没几次就坏了。",厌恶语调
"我明天要去见未来的公公婆婆,好紧张...",平淡语气
我最喜欢的作家去世了...,悲伤语调
你觉得未来的交通工具会是什么样子?,平淡语气
有人在网上散播我的个人信息!,愤怒语调
"我刚刚在抽屉里发现了一张旧彩券,居然中了大奖!",惊奇语调
我的论文被东森新闻接受了!,开心语调
这个政客的言论真的很令人反感。,厌恶语调
我好像听到房子里有奇怪的声音...,平淡语气
"我最好的朋友要移民了,以后可能很难见面了。",悲伤语调
你觉得学习一门新语言重要吗?,平淡语气
有人在公共场所乱丢垃圾!,愤怒语调
我刚刚在街上遇到了我的偶像!,惊奇语调
我刚刚在后院发现了一个古老的时间胶囊!,惊奇语调
我的宠物狗刚刚学会了一个新把戏!,开心语调
这个网红的行为真的很惹人厌。,厌恶语调
"我明天要坐云霄飞车,但我很怕高...",平淡语气
我最喜欢的餐厅因为疫情关门了...,悲伤语调
你觉得未来人类会移民火星吗?,平淡语气
有人在网上冒充我诈骗!,愤怒语调
我刚刚在旧衣服口袋里找到一张中奖彩券!,惊奇语调
我终于完成了我的第一本小说!,开心语调
这家餐厅的卫生条件真的很糟糕。,厌恶语调
我听说附近可能有食人鱼出没...,平淡语气
我养了十年的盆栽今天枯萎了。,悲伤语调
你觉得人工智能会取代艺术家吗?,平淡语气
有人偷了我辛苦栽种的花!,愤怒语调
我刚刚发现我家附近有一个秘密的地下隧道!,惊奇语调
我今天终于拿到我的毕业证书了！,开心语调
我昨天和陈安羽吵架了，现在很难过。,悲伤语调
今天有个人插我队，真的很不爽！,愤怒语调
最近工作压力很大，我担心自己做不好。,平淡语气
你知道吗？他居然考上了台科大！,惊奇语调
今天的午餐味道好奇怪，有点想吐。,厌恶语调
今天要不要一起去看电影？,平淡语气
我刚刚中了彩卷，虽然只是1000块钱！,开心语调
最近的工作进度很糟糕，我觉得自己越来越没自信。,悲伤语调
为什么那么多人都只会拖延，害我什么都做不了！,愤怒语调
这周末要专题报告，我好怕报告的不好。,平淡语气
哇，他竟然一天内就完成了这么多事情！,惊奇语调
这件外套穿起来好不舒服，我真的受不了。,厌恶语调
我终于完成了这个专案，超开心的！,开心语调
我的猫今天走丢了，我好担心牠。,悲伤语调
那个人竟然在我说话的时候打断我，有够白痴！,愤怒语调
我对明天的面试真的很紧张，很怕没办法通过。,平淡语气
你竟然一次就解出这么难的题！,惊奇语调
这一家的咖啡真的很难喝。,厌恶语调
下班后要不要一起去吃饭？,平淡语气
我真的很想放假，我不想再回到那种环境了。,悲伤语调
我觉得现在这种情况真的很危险。,平淡语气
为什么每次都是我被骂？,愤怒语调
你想听一个好消息！,开心语调
今天要做一些整理工作。,平淡语气
这份报告真的是太差了。,厌恶语调
你觉得我应该要怎么做才好？,平淡语气
我居然忘了今天是我们的周年纪念日！,惊奇语调
我真的觉得一切都不顺利。,悲伤语调
我刚刚完成了一个大项目，感觉一身轻。,开心语调
我今天又没考好，真的很失望。,悲伤语调
我对于这个我从未见过的情况感到非常不安。,平淡语气
我已经告诉他很多次了，他还是一直做错。,愤怒语调
我刚刚收到了一封很好的消息！,开心语调
我今天打算去超市。,平淡语气
这部电影的剧情真的不知道在演什么。,厌恶语调
你觉得这个主意怎么样？,平淡语气
我竟然在海洋广场遇到了我国中同学！,惊奇语调
我最近觉得天在跟我作对。,悲伤语调
我今天买到了我很想看的书。,开心语调
我很怕等下的的考试会考很烂。,平淡语气
为什么每次都是我最后一个被通知。,愤怒语调
我打算下周去旅游。,平淡语气
我竟然在路上看到一只熊！,惊奇语调
我觉得我最近的努力都没有得到回报。,悲伤语调
我刚刚完成了一个很重要的项目。,开心语调
干！沈浩霖总是打断我讲话。,愤怒语调
今天的天气如何？,平淡语气
我听说最近有一个地方很危险，我有点担心。,平淡语气
我真的受不了这种无聊的会议。,厌恶语调
为什么我的意见总是被忽略？,愤怒语调
我最近学会了一个新的东西，有点爽。,开心语调
昨天半夜的时候我听到奇怪的声音，我有点害怕。,平淡语气
我今天升主管了，超开心的！,开心语调
我超不爽我王郁洁，他总是把工作推给我！,愤怒语调
那家餐厅的食物真的很难吃，害我一整天的心情都不好。,厌恶语调
最近压力好大，快死了。,悲伤语调
我刚刚看到一只猫从树上跳了下来，还没事欸！,惊奇语调
我周末可以干嘛？,平淡语气
我刚刚完成了我的第一个程式报告！,开心语调
我有点担心明天的考试，感觉准备得不够好。,平淡语气
我真的受够了他怎么敢提这种要求啊！到底有没有动脑？,愤怒语调
我觉得最近大家都好冷淡，都没人理我。,悲伤语调
哇靠！我刚刚发现我中了发票！,惊奇语调
我刚刚吃到一个恶心的汉堡，吃下去真的让我差点吐出来。,厌恶语调
今天的天气真好，很适合打球。,开心语调
我最近压力好大，觉得很累。,悲伤语调
你知道吗？我刚刚碰到了一个我以为再也见不到的人欸！,惊奇语调
最近疫情好像又变严重了，我有点担心。,平淡语气
我刚刚在比赛中拿到了第一名！,开心语调
我今天去了一家餐厅，妈的！服务态度超差！,厌恶语调
干！我的手机又坏了，唉！,愤怒语调
我最近感觉自己做什么都很不顺，有点没自信。,悲伤语调
你知道吗？我们以前的老师现在变成了作家！,惊奇语调
晚上有空吗？要不要去看场电影。,平淡语气
今天开会的时候，有人一直打断我的话，真的很不爽。,厌恶语调
我已经订好了我们下周要住的旅馆啰！超期待的！,开心语调
我最近真的觉得生活失去了方向。,悲伤语调
最近听说公司要裁员，我好怕自己会被波及。,平淡语气
我刚收到通知，我录取了清大！,开心语调
我真的受不了，每次都是我加班，别人都不做事！,愤怒语调
我真的讨厌那种一直吹自己有多强的人。,厌恶语调
我的狗狗生病了，我好担心牠。,悲伤语调
你知道吗？李维哲居然要去环游世界了！,惊奇语调
今天晚上吃什么好呢？,平淡语气
我今天遇到的那个人真的很没品。,厌恶语调
终于完成了这个专案，真是太开心了！,开心语调
最近的事情让我觉得压力好大，总是没有动力做事情。,悲伤语调
我明天要去做健康检查，有点紧张。,平淡语气
我终于把我的论文写完了，真舒服！,开心语调
干！我的网路又断了，这已经是今天的第三次了！,愤怒语调
今天去的那家咖啡店，环境真的很糟糕。,厌恶语调
我最近一直觉得心情很低落，什么事情都提不起劲。,悲伤语调
我刚刚发现我的老同学现在变成了明星！,惊奇语调
这个周末要不要一起去公园走走？,平淡语气
那个人每次都说些很恶心的话，我真的很讨厌他。,厌恶语调
我刚换了新手机，超级喜欢！,开心语调
最近工作一直不顺利，觉得好累。,悲伤语调
我刚才梦到被人追杀，干超恐怖的！,平淡语气
我终于买到了那款限量版的鞋子！等了超久的！,开心语调
我跟主管反应问题，结果他完全不想理我！,愤怒语调
